SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1416,83.467,-25.793,3.694,79.798,-24.277,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.339,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2097,-0.21,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3957,114.8876,18.2972,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230465.5021,3320542.3873,4046794.234,-3057.6946,-3552.9985,6107.8007,4230424.1064,3320427.4997,4046775.9368,-3057.6036,-3552.9835,6107.6917,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.056179401439497,0.15472879499304582,-0.417335,6.191885799593026,14.717484098793445,,
0.3548,83.453,-25.826,3.691,79.785,-24.308,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.369,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0395,-0.2093,-0.2097,-0.3522,-0.9121,-0.0377,0.9351,-0.3524,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3763,114.8844,18.3204,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229815.1145,3319786.6922,4048093.0243,-3058.8707,-3553.9216,6106.6754,4229773.7382,3319671.8077,4048074.7039,-3058.7797,-3553.9066,6106.5663,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.088421895545924,0.15472879499304582,-0.417265,6.202045697278521,14.715015521063528,,
0.5657,83.44,-25.858,3.688,79.772,-24.338,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.399,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.2089,-0.2093,-0.3526,-0.9121,-0.0375,0.9349,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3572,114.8813,18.3433,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229171.6502,3319039.135,4049377.2638,-3060.0336,-3554.8343,6105.5621,4229130.293,3318924.2537,4049358.9205,-3059.9427,-3554.8194,6105.453,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.119676644246574,0.15472879499304582,-0.4172,6.207309789379136,14.712723270314317,,
0.7746,83.426,-25.89,3.685,79.759,-24.369,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.429,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3532,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1092,41.3382,114.8782,18.3662,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228531.7855,3318295.8506,4050653.6025,-3061.1895,-3555.7414,6104.4551,4228490.4473,3318180.9724,4050635.2363,-3061.0986,-3555.7264,6104.346,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.150933539741942,0.15472879499304582,-0.41713,6.2041532394810925,14.7102546925844,,
0.9867,83.412,-25.923,3.682,79.746,-24.399,3.512,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.459,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2082,-0.2086,-0.3532,-0.912,-0.0373,0.9347,-0.3535,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.319,114.875,18.3893,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227883.9785,3317543.4333,4051945.058,-3062.3591,-3556.6592,6103.3345,4227842.6596,3317428.5583,4051926.6687,-3062.2682,-3556.6442,6103.2253,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.183182636952292,0.15472879499304582,-0.41706000000000004,6.228252720123036,14.707786114854482,,
1.1986,83.398,-25.955,3.679,79.733,-24.43,3.508,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.489,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2078,-0.2083,-0.3536,-0.9119,-0.0371,0.9346,-0.3539,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.2997,114.8718,18.4124,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227233.9352,3316788.5119,4053240.2374,-3063.5321,-3557.5796,6102.2101,4227192.6356,3316673.64,4053221.825,-3063.4413,-3557.5646,6102.1008,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.21444384304195,0.15472879499304582,-0.41698999999999997,6.225417263594408,14.70531753712456,,
1.4093,83.385,-25.988,3.675,79.72,-24.461,3.505,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.519,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2074,-0.208,-0.3539,-0.9119,-0.037,0.9344,-0.3542,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.015,0.1093,41.2805,114.8686,18.4356,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226584.831,3316034.7744,4054532.8134,-3064.7027,-3558.4981,6101.0873,4226543.5505,3315919.9058,4054514.3778,-3064.612,-3558.4831,6100.978,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.246557279003277,0.15472879499304582,-0.41692500000000005,6.22972380158429,14.703025286375352,,
1.6766,83.373,-26.016,3.673,79.709,-24.487,3.502,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.544,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2071,-0.2077,-0.3542,-0.9118,-0.0369,0.9343,-0.3545,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2641,114.8659,18.4553,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226031.103,3315391.8617,4055634.8865,-3065.7009,-3559.2812,6100.1296,4225989.8389,3315276.9958,4055616.4311,-3065.6102,-3559.2662,6100.0203,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.274002074293897,0.15472879499304582,-0.41686500000000004,6.243721023790794,14.70090936260685,,
1.8786,83.354,-26.059,3.668,79.691,-24.528,3.498,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.584,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2066,-0.2072,-0.3547,-0.9117,-0.0367,0.9341,-0.355,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1094,41.2384,114.8617,18.4863,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225163.6436,3314384.8232,4057360.3035,-3067.2636,-3560.5071,6098.6294,4225122.4052,3314269.9615,4057341.8173,-3067.173,-3560.4922,6098.52,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.31588313167544,0.15472879499304582,-0.41677,6.246322286941706,14.69755914997339,,
2.0882,83.341,-26.092,3.665,79.679,-24.558,3.495,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.614,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9777,-0.0402,-0.2062,-0.2069,-0.355,-0.9117,-0.0366,0.934,-0.3554,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2193,114.8586,18.5093,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224517.6668,3313635.0132,4058644.3355,-3068.4267,-3561.4194,6097.5123,4224476.4474,3313520.1547,4058625.8262,-3068.3361,-3561.4045,6097.4028,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.348143938425718,0.15472879499304582,-0.416705,6.270590217109219,14.695266899224178,,
2.3024,83.327,-26.125,3.662,79.665,-24.589,3.492,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.644,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9778,-0.0402,-0.2059,-0.2066,-0.3553,-0.9116,-0.0365,0.9339,-0.3557,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1095,41.2,114.8554,18.5327,0.0,0.0435,-0.3742,0.0,0.0,0.0,4223862.3949,3312874.508,4059946.1058,-3069.6058,-3562.3443,6096.3791,4223821.1949,3312759.6526,4059927.5731,-3069.5152,-3562.3294,6096.2697,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.380406914981428,0.15472879499304582,-0.416635,6.274968890205662,14.69279832149426,,
2.512,83.313,-26.157,3.659,79.653,-24.62,3.488,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.674,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9778,-0.0403,-0.2055,-0.2062,-0.3557,-0.9116,-0.0363,0.9337,-0.3561,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1095,41.1809,114.8522,18.5557,0.0,0.0435,-0.3742,0.0,0.0,0.0,4223215.4949,3312123.812,4061230.5172,-3070.7693,-3563.2568,6095.2606,4223174.314,3312008.9598,4061211.9615,-3070.6787,-3563.2419,6095.1511,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.411681695795142,0.15472879499304582,-0.416565,6.277953827024647,14.690329743764343,,
2.7275,83.299,-26.19,3.655,79.639,-24.651,3.485,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.704,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9779,-0.0404,-0.2051,-0.2059,-0.356,-0.9115,-0.0362,0.9336,-0.3565,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0905,-0.0149,0.1095,41.1615,114.849,18.5792,0.0,0.0435,-0.3742,0.0,0.0,0.0,4222557.0167,3311359.7752,4062537.1759,-3071.9529,-3564.1851,6094.1221,4222515.8552,3311244.9262,4062518.5967,-3071.8624,-3564.1701,6094.0125,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.4438107125278,0.15472879499304582,-0.41649500000000006,6.282000368818066,14.687861166034425,,
2.941,83.285,-26.223,3.652,79.626,-24.682,3.482,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.734,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.978,-0.0405,-0.2047,-0.2055,-0.3563,-0.9115,-0.0361,0.9335,-0.3568,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0905,-0.0149,0.1096,41.1422,114.8459,18.6026,0.0,0.0435,-0.3742,0.0,0.0,0.0,4221901.9933,3310599.8411,4063836.2369,-3073.1297,-3565.1079,6092.9896,4221860.8511,3310484.9952,4063817.6343,-3073.0392,-3565.093,6092.88,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.476080393441926,0.15472879499304582,-0.416425,6.292152468376746,14.685392588304504,,
3.1529,83.272,-26.255,3.649,79.613,-24.713,3.479,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.765,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9781,-0.0406,-0.2043,-0.2052,-0.3567,-0.9114,-0.0359,0.9333,-0.3572,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0904,-0.0149,0.1096,41.1229,114.8427,18.6259,0.0,0.0435,-0.3742,0.0,0.0,0.0,4221246.8314,3309839.8408,4065134.8342,-3074.3061,-3566.0303,6091.8569,4221205.7084,3309724.9981,4065116.2082,-3074.2157,-3566.0154,6091.7473,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.507361732167915,0.15482893786369523,-0.41636,6.283416582549864,14.683100337555297,,
3.3645,83.258,-26.288,3.645,79.601,-24.743,3.475,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.794,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9781,-0.0406,-0.204,-0.2049,-0.357,-0.9114,-0.0358,0.9332,-0.3575,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0904,-0.0149,0.1097,41.1038,114.8395,18.6491,0.0,0.0435,-0.3742,0.0,0.0,0.0,4220596.9276,3309086.0333,4066422.2803,-3075.4725,-3566.9448,6090.7335,4220555.8238,3308971.1938,4066403.6312,-3075.3821,-3566.9299,6090.6238,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.539498280864315,0.15482893786369523,-0.41629,6.313299125517472,14.680631759825376,,
3.574,83.244,-26.32,3.642,79.588,-24.773,3.472,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.824,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9782,-0.0407,-0.2036,-0.2045,-0.3574,-0.9113,-0.0357,0.9331,-0.3579,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0904,-0.0149,0.1097,41.0849,114.8364,18.6721,0.0,0.0435,-0.3742,0.0,0.0,0.0,4219953.1715,3308339.4476,4067696.8328,-3076.6272,-3567.8501,6089.6207,4219912.0866,3308224.6112,4067678.1608,-3076.5368,-3567.8352,6089.511,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.570784030585173,0.15482893786369523,-0.41622,6.324087039893411,14.678163182095458,,
3.7867,83.231,-26.353,3.639,79.575,-24.804,3.469,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.854,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9783,-0.0408,-0.2032,-0.2042,-0.3577,-0.9112,-0.0355,0.9329,-0.3582,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0903,-0.0149,0.1097,41.0657,114.8333,18.6954,0.0,0.0435,-0.3742,0.0,0.0,0.0,4219298.2986,3307580.0623,4068992.6657,-3077.8012,-3568.7705,6088.4888,4219257.233,3307465.2291,4068973.9703,-3077.7109,-3568.7556,6088.379,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.603062417699206,0.15482893786369523,-0.416155,6.328606256490016,14.675870931346248,,
4.0022,83.217,-26.386,3.636,79.562,-24.835,3.465,-0.065,-0.154,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.885,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9784,-0.0409,-0.2028,-0.2039,-0.358,-0.9112,-0.0354,0.9328,-0.3586,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0903,-0.0149,0.1098,41.0462,114.8301,18.7191,0.0,0.0435,-0.3742,0.0,0.0,0.0,4218635.2969,3306811.3467,4070303.8348,-3078.9892,-3569.7017,6087.3429,4218594.2507,3306696.5166,4070285.1157,-3078.8989,-3569.6868,6087.2331,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.635342911252337,0.15482893786369523,-0.416085,6.339125517055346,14.67340235361633,,
4.2133,83.203,-26.418,3.632,79.549,-24.866,3.462,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.914,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9784,-0.0409,-0.2025,-0.2035,-0.3584,-0.9111,-0.0353,0.9327,-0.359,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0903,-0.0149,0.1098,41.0271,114.8269,18.7423,0.0,0.0435,-0.3742,0.0,0.0,0.0,4217983.6571,3306055.8978,4071591.8013,-3080.1561,-3570.6164,6086.2167,4217942.6299,3305941.0709,4071573.059,-3080.0659,-3570.6015,6086.1068,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.66649860780376,0.1538343264684446,-0.416015,6.335663569899755,14.670933775886413,,
4.4255,83.189,-26.451,3.629,79.536,-24.896,3.459,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.944,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9785,-0.041,-0.2021,-0.2032,-0.3587,-0.9111,-0.0351,0.9325,-0.3593,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0902,-0.0149,0.1099,41.008,114.8238,18.7655,0.0,0.0435,-0.3742,0.0,0.0,0.0,4217331.9268,3305300.4376,4072879.221,-3081.3226,-3571.5307,6085.0904,4217290.9188,3305185.6138,4072860.4555,-3081.2324,-3571.5158,6084.9805,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.69878353034085,0.1538343264684446,-0.41594499999999995,6.35970827028066,14.668465198156492,,
4.6348,83.176,-26.483,3.626,79.523,-24.927,3.455,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.974,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9786,-0.0411,-0.2017,-0.2028,-0.359,-0.911,-0.035,0.9324,-0.3597,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0902,-0.0149,0.1099,40.9891,114.8206,18.7886,0.0,0.0435,-0.3742,0.0,0.0,0.0,4216686.1779,3304552.001,4074154.1089,-3082.4778,-3572.436,6083.9745,4216645.1888,3304437.1803,4074135.3204,-3082.3876,-3572.4211,6083.8646,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.73007977915517,0.1538343264684446,-0.41588,6.35132602221231,14.666172947407283,,
4.8505,83.162,-26.516,3.622,79.51,-24.958,3.452,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,22.004,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9787,-0.0412,-0.2013,-0.2025,-0.3594,-0.911,-0.0349,0.9323,-0.36,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0901,-0.0148,0.11,40.9698,114.8175,18.8122,0.0,0.0435,-0.3742,0.0,0.0,0.0,4216023.7175,3303784.2902,4075461.2512,-3083.6622,-3573.3642,6082.8298,4215982.7477,3303669.4727,4075442.439,-3083.5721,-3573.3493,6082.7199,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.76223346434299,0.1538343264684446,-0.41581,6.361109563920538,14.663704369677365,,
5.0667,83.148,-26.549,3.619,79.497,-24.989,3.448,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,22.035,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9787,-0.0412,-0.2009,-0.2022,-0.3597,-0.9109,-0.0347,0.9321,-0.3604,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0901,-0.0148,0.11,40.9502,114.8142,18.8361,0.0,0.0435,-0.3742,0.0,0.0,0.0,4215354.0938,3303008.3749,4076781.7679,-3084.8589,-3574.3018,6081.6728,4215313.1436,3302893.5607,4076762.9319,-3084.7688,-3574.287,6081.5628,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.79452485117062,0.1538343264684446,-0.41574,6.371652133625615,14.661235791947446,,
