SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1334,73.687,-2.251,4.754,69.714,-2.193,4.753,-0.0,-0.019,0.008,-0.0,-0.019,0.008,0.571,-0.011,-0.269,-0.0,0.0,-0.0,-0.0,0.0,-0.0,869.237,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6411,-0.3151,-0.6998,-0.4581,0.5744,-0.6783,0.6157,0.7555,0.2239,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001,-0.008,-0.019,74.0101,74.8688,-33.6629,0.0,0.0435,-0.3709,0.0,0.0,0.0,2057802.8451,2615012.0351,-5859561.8847,5209.3673,4248.0915,3731.2672,2057728.835,2614937.1663,-5859528.2219,5209.3663,4248.0995,3731.2862,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.259992110260242,0.0206155281280883,-0.368435,3.8028432144584317,12.993006227464658,,
0.3336,73.687,-2.254,4.756,69.714,-2.197,4.754,-0.0,-0.019,0.008,-0.0,-0.019,0.008,0.571,-0.011,-0.269,-0.0,0.0,-0.0,-0.0,0.0,-0.0,869.237,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6411,-0.3151,-0.6998,-0.4581,0.5744,-0.6783,0.6157,0.7555,0.2239,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001,-0.008,-0.0191,74.0103,74.8672,-33.6667,0.0,0.0435,-0.3709,0.0,0.0,0.0,2058845.7185,2615862.4441,-5858814.7249,5208.8305,4247.4094,3732.7953,2058771.7082,2615787.5769,-5858781.0582,5208.8295,4247.4174,3732.8144,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.26308388684809,0.0206155281280883,-0.368435,3.793674342938273,12.993006227464658,,
0.5338,73.687,-2.258,4.757,69.714,-2.2,4.756,-0.0,-0.019,0.008,-0.0,-0.019,0.008,0.571,-0.011,-0.269,-0.0,0.0,-0.0,-0.0,0.0,-0.0,869.237,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6411,-0.3151,-0.6998,-0.4581,0.5744,-0.6783,0.6157,0.7555,0.2239,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001,-0.008,-0.0191,74.0105,74.8656,-33.6705,0.0,0.0435,-0.3709,0.0,0.0,0.0,2059888.5208,2616712.7463,-5858067.2329,5208.2934,4246.7271,3734.3233,2059814.5103,2616637.8807,-5858033.5624,5208.2924,4246.735,3734.3424,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.265701567692571,0.0206155281280883,-0.368435,3.806375312009307,12.993006227464658,,
0.734,73.687,-2.262,4.759,69.714,-2.204,4.757,-0.0,-0.019,0.008,-0.0,-0.019,0.008,0.571,-0.011,-0.269,-0.0,0.0,-0.0,-0.0,0.0,-0.0,869.237,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6411,-0.3151,-0.6998,-0.4581,0.5744,-0.6783,0.6157,0.7555,0.2239,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001,-0.008,-0.0192,74.0107,74.864,-33.6743,0.0,0.0435,-0.3709,0.0,0.0,0.0,2060931.0723,2617562.795,-5857319.5379,5207.756,4246.0446,3735.8508,2060857.0616,2617487.931,-5857285.8636,5207.755,4246.0525,3735.87,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.2692243262172855,0.0206155281280883,-0.368435,3.7938338164717615,12.993006227464658,,
0.9342,73.687,-2.266,4.761,69.714,-2.208,4.759,-0.0,-0.019,0.008,-0.0,-0.019,0.008,0.571,-0.011,-0.269,-0.0,0.0,-0.0,-0.0,0.0,-0.0,869.237,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6411,-0.3151,-0.6998,-0.4581,0.5744,-0.6783,0.6157,0.7555,0.2239,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001,-0.008,-0.0192,74.0109,74.8624,-33.6782,0.0,0.0435,-0.3709,0.0,0.0,0.0,2061973.6429,2618412.8103,-5856571.4466,5207.2184,4245.3618,3737.3784,2061899.632,2618337.9479,-5856537.7684,5207.2174,4245.3697,3737.3976,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.272748524251845,0.0206155281280883,-0.368435,3.7960756727941507,12.993006227464658,,
1.1344,73.687,-2.27,4.762,69.714,-2.212,4.761,-0.0,-0.019,0.008,-0.0,-0.019,0.008,0.571,-0.011,-0.269,-0.0,0.0,-0.0,-0.0,0.0,-0.0,869.237,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6411,-0.3151,-0.6998,-0.4581,0.5744,-0.6783,0.6157,0.7555,0.2239,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001,-0.008,-0.0193,74.0111,74.8608,-33.682,0.0,0.0435,-0.3709,0.0,0.0,0.0,2063016.111,2619262.693,-5855823.0458,5206.6805,4244.6787,3738.9058,2062942.0999,2619187.8322,-5855789.3637,5206.6795,4244.6867,3738.925,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.275371456115673,0.0206155281280883,-0.368435,3.812335928967999,12.993006227464658,,
1.3346,73.687,-2.274,4.764,69.714,-2.216,4.762,-0.0,-0.019,0.008,-0.0,-0.019,0.008,0.571,-0.011,-0.269,-0.0,0.0,-0.0,-0.0,0.0,-0.0,869.237,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6411,-0.3151,-0.6998,-0.4581,0.5744,-0.6783,0.6157,0.7555,0.2239,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001,-0.008,-0.0193,74.0113,74.8592,-33.6859,0.0,0.0435,-0.3709,0.0,0.0,0.0,2064058.3405,2620112.3325,-5855074.4323,5206.1423,4243.9956,3740.4328,2063984.3292,2620037.4733,-5855040.7464,5206.1413,4244.0035,3740.4521,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.278898748792214,0.0206155281280883,-0.368435,3.7998078250237284,12.993006227464658,,
1.5348,73.687,-2.278,4.765,69.714,-2.22,4.764,-0.0,-0.019,0.008,-0.0,-0.019,0.008,0.571,-0.011,-0.269,-0.0,0.0,-0.0,-0.0,0.0,-0.0,869.237,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6411,-0.3151,-0.6998,-0.4581,0.5744,-0.6783,0.6157,0.7555,0.2239,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001,-0.008,-0.0194,74.0115,74.8576,-33.6898,0.0,0.0435,-0.3709,0.0,0.0,0.0,2065100.5108,2620961.8747,-5854325.4788,5205.6039,4243.3121,3741.9596,2065026.4993,2620887.0171,-5854291.789,5205.6029,4243.3201,3741.979,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.281525253182076,0.0206155281280883,-0.368435,3.8160669970681833,12.993006227464658,,
1.735,73.687,-2.282,4.767,69.713,-2.224,4.765,-0.0,-0.019,0.008,-0.0,-0.019,0.008,0.571,-0.011,-0.269,-0.0,0.0,-0.0,-0.0,0.0,-0.0,869.237,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6411,-0.3151,-0.6998,-0.4581,0.5744,-0.6783,0.6157,0.7555,0.2239,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001,-0.008,-0.0194,74.0117,74.856,-33.6936,0.0,0.0435,-0.3709,0.0,0.0,0.0,2066142.7578,2621811.4302,-5853576.0881,5205.0651,4242.6284,3743.4866,2066068.7461,2621736.5742,-5853542.3945,5205.0641,4242.6363,3743.506,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.285055628846304,0.0206155281280883,-0.368435,3.803659817904812,12.993006227464658,,
1.9352,73.687,-2.286,4.768,69.713,-2.228,4.767,-0.0,-0.02,0.008,-0.0,-0.02,0.008,0.571,-0.011,-0.269,-0.0,0.0,-0.0,-0.0,0.0,-0.0,869.237,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6411,-0.3151,-0.6998,-0.4581,0.5744,-0.6783,0.6157,0.7555,0.2239,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001,-0.008,-0.0195,74.0119,74.8544,-33.6975,0.0,0.0435,-0.3709,0.0,0.0,0.0,2067184.7767,2622660.7512,-5852826.476,5204.5261,4241.9445,3745.0131,2067110.7648,2622585.8968,-5852792.7784,5204.5251,4241.9524,3745.0326,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.287685694138788,0.021540659228538015,-0.368435,3.8199143376501676,12.993006227464658,,
